Name,lat,lon,Category,Address,Working Hours,Phone
Araz Məhəmmədi-3 Supermarket,40.509075,49.915836,Supermarket,"Abşeron rayonu, Məhəmmədi kəndi",07:00 - 23:00,055 900 67 25
Araz Hövsan-3 Superstore,40.360977,50.077820,Superstore,"Suraxanı rayonu, Elçin Məmmədov 5k",07:00 - 23:00,055 900 67 23
Araz Bakıxanov-5 Supermarket,40.416039,49.964676,Supermarket,"Sabunçu rayonu, Bakıxanov qəsəbəsi, Sakit Qocayev küçəsi 35",07:00 - 23:00,055 900 67 26
Araz Nərimanov-5  Minimarket,40.400349,49.870441,Mini,"Nərimanov rayonu, M.Məmmədzadə/Ə.Orucəliyev/N.Hacıyev küçələrinin kəsişməsində",24\7,055 900 67 42
Araz Sulutəpə-2 Minimarket,40.433952,49.773163,Mini,"Binəqədi rayonu, Sulutəpə qəsəbəsi, Ruslan Allahverdiyev küçəsi",07:00 - 02:00,055 400 85 29
Araz Nargilə-2 Supermarket,40.367275,49.941563,Supermarket,"Xətai rayonu, Zığ şossesi 8, blok 1",24\7,055 500 61 35
Araz Sulutəpə-3 Supermarket,40.432625,49.771278,Supermarket,"Binəqədi rayonu, Sulutəpə qəsəbəsi, R.Allahverdiyev küçəsi, ev 25F",24\7,055 300 83 90
Araz Badamdar-3 Minimarket,40.332138,49.802826,Mini,"Badamdar qəsəbəsi, 22-ci küçə, 3-cü massiv",08:00 - 23:00,055 515 85 21
Araz Hövsan-4 Supermarket,40.358704,50.067162,Supermarket,"Suraxanı rayonu, Hövsan qəsəbəsi, Oqtay Şabanov küçəsi",24\7,055 515 85 58
Araz Gəncə-3 Supermarket,40.688095,46.352371,Supermarket,"Gəncə şəhəri, Şəddadilər küçəsi",24\7,055 900 08 83
Araz 8-ci mkr-2 Superstore,40.417198,49.838631,Superstore,"Binəqədi rayonu, Cəfər Xəndan küçəsi (Tərgül ticarət mərkəzi)",07:00 - 23:00,055 900 67 47
Araz Abşeron-1 Superstore,40.470043,49.742256,Superstore,"Xırdalan şəhəri, Abşeron Gənclər şəhərciyi",08:00 - 23:00,055 900 28 15
Araz Əhmədli-6 Minimarket,40.394524,49.950237,Mini,"Nizami rayonu, Babək prospekti 64",07:00 - 00:00,055 900 28 60
Araz Ramana-1 Minimarket,40.477703,49.987919,Mini,"Sabunçu rayonu, Ramana qəsəbəsi, E.Məhərrəmli küçəsi",07:00 - 23:00,055 900 28 25
Araz Qutqaşınlı-1 Minimarket,40.372177,49.820423,Mini,"Yasamal rayonu, İ.Qutqaşınlı küç 85",07:00 - 23:00,055 900 28 26
Araz Mehdiabad-3 Supermarket,40.491539,49.855244,Supermarket,"Abşeron rayonu, Mehdiabad qəsəbəsi, 28 May küçəsi ev 1",07:00 - 02:00,055 900 28 65
Araz Xirdalan-5 Supermarket,40.460838,49.741203,Supermarket,"Xırdalan şəhəri, Nizami Gəncəvi küçəsi",07:00 - 23:00,055 900 28 46
Araz Nərimanov-8 Minimarket,40.396263,49.875515,Mini,"Nərimanov rayonu, Ə. Orucəliyev küçəsi 7",07:00 - 23:00,055 900 28 44
Araz Şəki Supermarket,41.200283,47.177299,Supermarket,"Şəki şəhəri, M.Ə.Rəsulzadə pr 169",07:00 - 23:00,055 900 28 64
Araz Nərimanov-6 Supermarket,40.394402,49.875912,Supermarket,"Nərimanov rayonu, Çaykovski küçəsi 10",08:00 - 00:00,055 900 28 93
Araz Sumqayıt-7 Supermarket,40.561623,49.694092,Supermarket,"Sumqayıt şəhəri, Koroğlu küçəsi 395, 10-cu mkr",08:00 - 00:00,055 900 28 90
Araz Qobustan Supermarket,40.071949,49.411850,Supermarket,"Qobustan qəsəbəsi, Bakı - Ələt yolunun 58-ci km-liyi",08:00 - 23:00,055 900 36 05
Araz Sumqayıt-8 Supermarket,40.569878,49.675194,Supermarket,"Sumqayıt şəhəri, 11-ci mikrorayon, Bədəlbəyli küçəsi 34A",08:00-23:00,055 900 36 04
Araz Hövsan 2 Minimarket,40.364113,50.073154,Mini,"Suraxanı rayonu, Hövsan qəsəbəsi, Elman Qasımov küçəsi 227 A",07:30 - 23:00,055 515 85 64
Araz Yevlax Minimarket,40.607880,47.149147,Mini,"Yevlax şəhəri, Məhəmməd Füzuli küçəsi",08:00 - 23:00,055 900 36 40
Araz Şuşa şəhəri Ekspress,39.762844,46.748207,Express,"Şuşa şəhəri, 20 Yanvar küçəsi",08:00 - 20:00,055 900 36 06
Araz Masazır 5 Supermarket,40.484329,49.756336,Supermarket,"Abşeron rayonu, Masazır qəsəbəsi, Əliağa Vahid küçəsi",08:00 - 23:00,055 900 96 44
Araz Bakıxanov-6 Superstore,40.416225,49.968266,Superstore,Muxtar Fətəliyev küçəsi 151 A,08:00 - 23:00,055 900 36 13
Araz Nargilə 3 Supermarket,40.360359,49.946903,Supermarket,"Xətai rayonu, Zığ yolu 31A, blok 3.",08:00 - 23:00,055 204 96 47
Araz Əhmədli 7 Express,40.394569,49.952446,Express,"Xətai rayonu, Əhmədli qəsəbəsi, M.Hadi küçəsi, 2341-2343-cü məhəllə, ev 2",08:00 - 23:00,055 900 83 09
Araz Yeni Yasamal-2 Supermarket,40.387386,49.787609,Supermarket,"Yasamal rayonu, Əsəd Əhmədov küçəsi 9, döngə 5",08:00 - 23:00,055 900 28 20
Araz Tusi 2 Supermarket,40.369431,49.962055,Supermarket,"Xətai rayonu, Nəsrəddin Tusi 45",08:00 - 23:00,055 900 83 29
Araz Masazır-4 Minimarket,40.491493,49.746567,Mini,"Masazır qəsəbəsi, Yeni Bakı yaşayış kompleksi, ev 6",08:00 - 23:00,055 900 36 44
Araz Biləcəri 3 Minimarket,40.432434,49.804684,Mini,"Binəqədi rayonu, Biləcəri qəsəbəsi, Yahya Hüseynov küçəsi 33 c",08:00 - 23:00,055 900 83 99
Araz Həzi Aslanov-2 Ekspress,40.366039,49.955395,Express,"Xətai rayonu, M.Hadi küçəsi, 2942 A məhəllə",08:00 - 23:00,055 900 36 89
Araz Binə 4 Supermarket,40.417709,50.107887,Supermarket,"Xəzər rayonu, Binə qəsəbəsi, Vaqif küçəsi",08:00 - 23:00,055 900 36 34
Araz Şüvəlan-2 Minimarket,40.496326,50.198189,Mini,"Şüvəlan qəsəbəsi, Lev Starçuk küçəsi",08:00 - 23:00,055 900 36 93
Araz Atatürk 2 Minimarket,40.410492,49.843937,Mini,"Nərimanov rayonu, İ.Dadaşov küçəsi 57 X",08:00 - 23:00,055 900 83 25
Araz Minəçevir-2 Minimarket,40.769966,46.998623,Mini,"Mingəçevir şəhəri, Naxçıvan küçəsi ev 42 B",08:00 - 23:00,055 204 96 05
Araz M. Əcəmi 2 Minimarket,40.412827,49.813202,Mini,"Bakı şəhəri , Nəsimi rayonu 3-cü mkr , Cavadxan küçəsi",08:00 - 23:00,055 200 83 29
Araz Sumqayıt-9 Supermarket,40.562477,49.684307,Supermarket,"Sumqayıt şəhəri, 12-ci mkr, Çerkassi küçəsi",08:00 - 23:00,055 900 36 90
Araz Xırdalan-6 Supermarket,40.446938,49.751148,Supermarket,"Xırdalan şəhəri, Heydər Əliyev prospekti 11",08:00 - 23:00,N/A
Araz Zabrat-2 Minimarket,40.475517,49.948154,Mini,"Sabunçu rayonu, Zabrat qəsəbəsi, R. Axundov küçəsi",08:00 - 23:00,055-333-37-81
Araz 8-ci mkr-3 Ekspress,40.420235,49.839996,Express,"Binəqədi rayonu, 8-ci mikrorayon, Nizami Nərimanov küçəsi, 3078-ci məhəllə",08:00 - 23:00,055 333 43 18
Araz Mehdiabad-4 Ekspress,40.497898,49.851330,Express,"Abşeron rayonu, Mehdiabad qəsəbəsi, Cəfər Cabbarlı küçəsi",08:00 - 23:00,055 333 47 25
Araz Biləcəri-5 Minimarket,40.444790,49.809513,Mini,"Binəqədi rayonu, Biləcəri qəsəbəsi, 3-cü yeni Y/M, Xudayat Məlikaslanov küçəsi 36",08:00 - 00:00,055 333 43 80
Araz Bayıl-2 Supermarket,40.343227,49.838390,Supermarket,"Bakı şəh. Səbail rayonu , Bayıl qəsəbəsi Xanlar küçəsi 119",08:00 - 23:00,055 333 47 31
Araz Xırdalan-7 Supermarket,40.441151,49.763580,Supermarket,Xırdalan şəhəri Heydər Əliyev Prospekti 95,08:00 - 23:00,055-333-46-22
Araz Şərifzadə-2 Minimarket,40.391510,49.802345,Mini,"Yasamal rayonu, Abbas Mirzə Şərifzadə küçəsi",08:00 - 23:00,055 333 57 28
Araz Neapol-2 Minimarket,40.379681,49.965164,Mini,"Xətai rayonu, Əhmədli qəsəbəsi, General Əliağa Şıxlinski küç. 03",08:00 - 23:00,055 333 42 45
Araz Nərimanov-9 Ekspress,40.391178,49.878223,Express,"Nərimanov rayonu, İsmayıl Hidayətzadə küçəsi",08:00 - 23:00,055 333 58 43
Araz Əhmədli-9 Supermarket,40.389366,49.957867,Supermarket,"Xətai rayonu, Əhmədli qəsəbəsi, Q.Nəbi küçəsi 9C",24\7,055 333 58 83
Araz Möhsün Sənani-3 Supermarket,40.398098,49.834629,Supermarket,"Nərimanov rayonu, Möhsün Sənani küç. 17,19",08:00 - 23:00,055 253 33 92
Araz Bakıxanov-8 Supermarket,40.422890,49.969036,Supermarket,"Sabunçu rayonu, Bakıxanov qəsəbəsi, Nizami İsmayılov küçəsi",08:00 - 23:00,055 253 28 48
Araz Siyəzən Supermarket,41.086773,49.102249,Supermarket,"Siyəzən şəhəri, Heydər Əliyev prospekti",08:00 - 23:00,055 253 28 98
Araz Şərifzadə-4 Minimarket,40.374306,49.806599,Mini,"Yasamal rayonu, İsfəndiyar Zülalov küç.ev 19",08:00 - 23:00,055 201 24 38
Araz Biləcəri-6 Minimarket,40.437325,49.808765,Mini,"Binəqədi rayonu, Biləcəri qəsəbəsi, Asəf Zeynalov küçəsi",24\7,055 202 67 59
Araz Sumqayıt-10 Supermarket,40.587845,49.669605,Supermarket,"Sumqayıt şəhəri, H.Əliyev pr 49. 34-cü məhəllə",08:00 - 23:00,055 204 24 83
Araz Nargilə-4 Supermarket,40.366177,49.944363,Supermarket,"Xətai rayonu, Zığ yolu, 1723-cü keçid, 2950-51-ci məhəllə",08:00 - 23:00,055 201 24 76
Araz Şərifzadə-3 Ekspres,40.375618,49.805183,Express,"Yasamal rayonu , A.M.Şərifzadə küç-44",08:00 - 23:00,055 251 54 02
Araz Neftçilər-3 Minimarket,40.410500,49.938492,Mini,"Nizami rayonu, M.Abbasov küç. 2538 məh",08:00 - 23:00,055 252 26 51
Araz Xırdalan-8 Supermarket,40.464706,49.723244,Supermarket,"Xırdalan şəhəri, Quşçuluq y/m, 20-ci küçə, ev 25",08:00 - 23:00,055 253 24 13
Araz Biləcəri-7 Minimarket,40.437660,49.802391,Mini,"Binəqədi rayonu , Biləcəri qəsəbəsi,  A.Zeynallı küçəsi, Döngə 2 ev 2",08:00 - 23:00,055 202 67 59
Araz Qutqaşınlı-2 Superstore,40.370319,49.820541,Superstore,"Yasamal rayonu, İsmayıl bəy Qutqaşınlı küçəsi",08:00 - 23:00,055 900 28 78
Araz Xətai-3 Supermarket,40.696861,46.345520,Supermarket,"Bakı şəhəri , Xətai r-nu, Xocalı pr-ti 29",08:00 - 23:00,055 900 08 37
Araz Biləcəri-8 Supermarket,40.422089,49.798489,Supermarket,"Bakı ş., Binəqədi r-nu,Biləcəri qəs., Sumqayıt şos-si., R.İsmayılov küç. 11G",08:00 - 23:00,055 900 08 49
Araz Nargile-5 Supermarket,40.362286,49.950413,Supermarket,"Bakı ş., Xətai r-nu, Cavanşir küç. 36",07:00 - 00:00,055 900 28 72
Araz Cavanşir-1 Minimarket,40.365307,49.948650,Supermarket,"Bakı ş., Xətai r-nu, Cavanşir küç. 30B",08:00 - 23:00,055 333 47 36
Araz Günəşli-6 Supermarket,40.375351,49.977970,Supermarket,"Bakı ş., Suraxanı r-nu, Y/Günəşli qəs., D massivi, Shams (Şəms) Residence",08:00 - 23:00,055 333 43 52
Araz Nərimanov-10 Supermarket,40.401333,49.863884,Supermarket,"Bakı ş., Nərimanov r-nu, Təbriz və Həsənoğlu küç. kəsişməsi    Whitestone deyilən",7\24,055 333 43 72
Araz 9 mkr-3 Minimarket,40.419537,49.808350,Mini,"Bakı ş., Binəqədi r-nu, 9 mkr., A.Məmmədov küç. ev 11, mən. 4",08:00 - 23:00,055 900 08 64
Bakıxanov-6 Superstore,40.416649,49.968479,Superstore,"Bakı şəhəri, Sabunçu rayonu, Muxtar Fətəliyev",08:00 - 23:00,055 900 36 13
Araz Ceyhun Hacıbəyli-2 Supermarket,40.390259,49.846466,Supermarket,"Bakı ş., Nəsimi r-nu, C.Hacıbəyli küç. 39A",08:00 - 23:00,055 900 36 29
Araz Azadlıq-4 Supermarket,40.389385,49.841244,Supermarket,"Bakı ş., Nəsimi r-nu, S.Rüstəm küç. 141 Qarant deyilən",08:00 - 23:00,055 900 36 65
Araz Ramana-2 Supermarket,40.469681,50.017540,Supermarket,"Bakı ş., Sabunçu r-nu, Ramana qəs., Şuşa küç-Ramana Pətək",08:00 - 23:00,055 900 36 54
Araz Pirşaği-1 Supermarket,40.529980,49.872730,Supermarket,"Bakı ş., Sabunçu(Pirşağı) Həsən Əliyev küç,",08:00 - 23:00,055 204 96 88
Araz Qaraçuxur-3 Ekspres,40.401680,49.979866,Express,"Suraxanı rayonu, Qaraçuxur qəsəbəsi, Z. Şərifov küçəsi 22.",08:00 - 23:00,012924
Araz Binəqədi-4 Supermarket,40.456184,49.783878,Supermarket,"Bakı şəhəri, Binəqədi rayonu, Binəqədi ştq mərkəzi ev.-m. Binəqədi qəsəbəsi ərazisi.",08:00 - 23:00,012924
Araz Həzi Aslanov-4 Supermarket,40.359634,49.958267,Supermarket,"Bakı şəhəri, Xətai rayonu, 4-cü dairəvi küçəsi 27.",08:00 - 23:00,012924
Araz Neftçilər-4 Ekspres,40.413063,49.945919,Express,"Nizami rayonu, Nəsimi küçəsi 112a.",08:00 - 23:00,012924
Ağcəbədi Supermarket,40.030838,47.444511,Supermarket,Ağcəbədi r-nu Tofiq Qasımov küçəsi,08:00 - 23:00,055 204 96 88
Araz Buzovna-5 Superstore,40.519386,50.097073,Superstore,"Bakı şəh. Xəzər r-nu., Buzovna qəs.,E.Bünyadov küç. Ev 26",07:00 - 00:00,055 204 96 20
Araz Ucar Superstore,40.495377,47.659508,Superstore,Ucar r-nu Qarabörk ev.-m,08:00 - 23:00,924
Araz Supermarket Laçın,39.636955,46.546642,Express,Lacin,08:00-23:00,924
Araz Mərdəkan Superstore,40.485481,50.129425,Superstore,"Bakı ş., Xəzər r., Mərdəkan ŞTQ Sergey Yesenin (Mərdəkan Qəs.) ev.8H və 8km",24/7,N/A
Araz Xətai-5 Minimarket,40.378971,49.877777,Mini,Bakı ş.Xətai r-nu 8 noyabr ev.23 m. 1,08:00-23:00,N/A
Araz Maştağa-2,40.540203,50.008472,Supermarket,"Sabunçu r-nu, Maştağa qəsəbəsi, Axund Şeyx Hüseyn küçəsi.",08:00-23:00,N/A
Araz Supermarket | Zabrat-3,40.479282,49.954559,Mini,"Sabunçu rayonu, Zabrat qəsəbəsi, Nəsibə Zeynalova 552",08:00-23:00,924
Araz Supermarket | Zirə-2,40.375427,50.285774,Supermarket,Baki şəhəri Xəzər rayonu Zirə qəsəbəsi 57ci Zirə küç. 19,08:00-23:00,924
Araz Supermarket | Sumqayıt-11,40.565685,49.627323,Mini,"Sumqayıt şəh., Sumqayıt Dəmir yolu yaşayış sahəsi ev.-m Azərbaycan dəmir yolu yük heyəti massivi",08:00-23:00,924
Araz Supermarket | Pirallahı-2,40.469322,50.325222,Mini,"Pirallahı rayonu, Səməd Vurğun küçəsi 3.",08:00-23:00,924
Araz Supermarket | Pirallahı-1,40.449791,50.338169,Express,Pirallahı rayonu K.Rzayev küçəsi,08:00-23:00,924
Araz Xəzər-4,40.356186,49.961277,Mini,Bakı şəh. Xətai ray. Gəncə pr 2930-cu məhəllə,08:00-23:00,924
Araz Yeni Yasamal-3,40.375252,49.799496,Supermarket,Bakı şəh. Yasamal ray. Ümud Əkbərov küç. 81,08:00-23:00,924
Araz Binəqədi-5,40.470280,49.826164,Mini,Bakı şəh. Binəqədi ray. Binəqədi qəs. Gülməmməd Ramazanov küç. 41,08:00-23:00,924
Araz 7-ci mkr-5,40.433174,49.860336,Mini,Bakı şəh. Binəqədi ray. 7-ci mkr A.Kunanbayev küç 3121ci məhəllə 78P saylı sahə,08:00-23:00,924
Araz Yeni Yasamal-4,40.374168,49.796047,Mini,"Yasamal rayonu, Müstəqillik küçəsi, ev 25.",08:00-23:00,924
Araz Ə. Əliəşrəf-1,40.393963,49.861263,Supermarket,Bakı şəh. Nərimanov ray. Ələşrəf Əlizadə küç,08:00-23:00,924
Araz Şabran Supermarket,41.201622,48.981747,Supermarket,Şabran şəh. M.Ə. Rəsulzadə küç 57a,08:00-23:00,924
Araz Supermarket 6-cı mkr.-3,40.423359,49.837227,Mini,"Binəqədi rayonu, Azadlıq prospekti 187, korpus A.",08:00-23:00,924
Araz Sumqayıt-12,40.579151,49.691528,Mini,"Sumqayıt şəhəri, 6-cı mkr., ev 33E.",08:00-23:00,924
Araz Qaradağ Superstore,40.276527,49.679501,Superstore,"Qaradağ rayonu, Salyan şosesi, 23-cü km.",24/7,924
Araz Məmmədli-4 Supermarket,40.507343,49.911816,Supermarket,"Abşeron rayonu, Məmmədli qəsəbəsi",08:00-23:00,924
Araz Nərimanov-11 Minimarket,40.408817,49.870377,Mini,"Nərimanov rayonu, Faiq Yusifov küçəsi, ev 40.",08:00-23:00,N/A
Araz Qala-2 Supermarket,40.465858,50.137878,Supermarket,"Xəzər rayonu, Qala ŞTQ, Mərdəkan şosesi, ev 467 m.",08:00-23:00,N/A
Araz Rəsulzadə Minimarket,40.435745,49.837307,Mini,Baki Şəhəri Binəqədi Rayonu Ədalət Yusifov Rəsulzadə Qəsəbəsi ev 19,08:00-23:00,N/A
Araz Xırdalan Minimarket,40.457081,49.717243,Mini,Abseron Rayonu Xırdalan şəhəri,08:00-23:00,N/A
Araz Bayıl-3 Minimarket,40.350552,49.834431,Mini,"Səbail rayonu, Qurban Abbasov küçəsi, ev 14.",08:00-23:00,N/A
Araz İnqilab-5 Express,40.396885,49.827744,Express,"Bakı şəhəri, Yasamal rayonu, C. Məmmədquluzadə küçəsi, ev 118.",08:00-23:00,N/A
Araz Yeni Yasamal-5 Minimarket,40.389683,49.792908,Mini,"Bakı şəhəri, Yasamal rayonu, Dadaş Bünyadzadə küçəsi, ev 3.",08:00-23:00,N/A
Araz Albalılıq-1 Superstore,40.526749,50.069347,Superstore,"Xəzər rayonu, Buzovna qəsəbəsi, Məhəmməd Namazov küçəsi, ev 169",24/7,924
Araz Pirşağı-2 Minimarket,40.560268,49.889408,Mini,"Sabunçu rayonu, Pirşağı qəsəbəsi, Qurtuluş küçəsi 275",08:00-23:00,924
Araz Masazır-7 Supermarket,40.486233,49.767414,Supermarket,"Abşeron rayonu, Masazır qəsəbəsi, Qurtuluş 93, bina 1C.",08:00-23:00,924
Araz Supermarket Lənkəran-1,38.724106,48.843887,Supermarket,"Lənkəran rayonu, Gərmətük ŞTQ.",09:00-23:00,924
Araz Babək-1 Superstore,40.393185,49.927258,Superstore,"Bakı şəhəri, Xətai rayonu, Babək prospekti, 9-cu dairəvi küçə.",24/7,924
Rossmann 28 May,40.376942,49.845459,Rossmann,28 May küçəsi 20 (Music Gallery ilə üzbəüz),10:00-22:00,N/A
Rossmann Nizami,40.377529,49.855225,Rossmann,N. Gəncəvi 131,10:00-22:00,0555058712
Rossmann Tarqovi,40.378281,49.858494,Rossmann,"Nəsimi ray., Nizami küç.81",10:00-22:00,0555056232
Rossmann Sahil,40.371758,49.844776,Rossmann,Səbail ray.Zərifə Əliyeva küç.29,10:00-22:00,0555058747
Rossmann Crescent Mall,40.371010,49.858032,Rossmann,"Nəsimi rayonu, Neftçilər prospekti, ""Aypara Sarayı və Şəhərciyi"" 66, 68, 3-cü mərtəbə",10:00-22:00,0555057191
Rossmann Ayna Sultanova,40.411060,49.846565,Rossmann,Atatürk pr. 145b,10:00-22:00,0555058738
Rossmann Gənclik,40.401695,49.859035,Rossmann,Nərimanov ray.Fətəli Xan Xoyski pr.42k,10:00-22:00,0555058748
Rossmann Nərimanov-1,40.402058,49.873810,Rossmann,"Nərimanov r., N.Hacıyev 34C",10:00-22:00,0555058729
Rossmann Nərimanov-2,40.403919,49.873402,Rossmann,Nərimanov ray.Ağa Neymətulla küç.44/2,10:00-22:00,0555058766
Rossmann 6-cı paralel,40.383839,49.828548,Rossmann,M. Naxçivani 25A.,10:00-22:00,0555058740
Rossmann Statistika,40.384583,49.823345,Rossmann,Yasamal ray.İnşaatçilar pr.33,10:00-22:00,0555058762
Rossmann Olimpik Star,40.400078,49.831970,Rossmann,"Nəsimi ray., S.Vurğun 941",10:00-22:00,0555058796
Rossmann 8-ci mkr,40.417068,49.838070,Rossmann,"Binəqədi ray ., C.Xəndan 34D 3066-cı məhəllə",10:00-22:00,0555058797
Rossmann Əcəmi,40.408951,49.814709,Rossmann,"Bakı şəh, Nəsimi ray, Seyid Cəfər Pişəvəri 122A",10:00-22:00,0555058755
Rossmann Həzi Aslanov,40.390450,49.953793,Rossmann,"Xətai rayonu, Məhəmməd Hadi küç.,72",10:00-22:00,0555057696
Rossmann Əhmədli,40.390102,49.957668,Rossmann,Qaçaq Nəbi 9C,10:00-22:00,0555058711
Rossmann Bakıxanov,40.430920,49.953892,Rossmann,Yaver Əliyev küç. Bakixanov Mall,10:00-22:00,0555058713
Rossmann Neftçilər,40.406879,49.946999,Rossmann,Qara Qarayev 81,10:00-22:00,0555058710
Rossmann City Park,40.389561,49.891190,Rossmann,"Xətai ray., Babək Prospekti 28, City Park Mall",10:00-22:00,0555057141
Rossmann Blue Mall,40.369019,49.937160,Rossmann,"Blue Mall, 8 noyabr pr.",10:00-22:00,0555058779
Rossmann Azadlıq,40.399811,49.838791,Rossmann,"Nərimanov rayonu, Azadlıq pr. 149",10:00-22:00,0555057848
Rossmann İnşaatçılar,40.389400,49.803310,Rossmann,"Yasamal ray., A.M.Şərifzadə 158(İnşaatçılar m/s çıxışı)",10:00-22:00,0555058708
Rossmann Elmlər,40.378120,49.811619,Rossmann,Z. Xəlilov 30A,10:00-22:00,0555058709
Rossmann Montin,40.394646,49.876141,Rossmann,Nərimanov ray.Mayakovski küç ev.8/9-10,10:00-22:00,0555058759
Rossmann Sabah Residence,40.351452,49.832100,Rossmann,"Baki ş., Səbail ray., Xanlar 10",10:00-22:00,0555058799
Araz Masazır-8 Minimarket,40.491230,49.751629,Mini,"Abşeron ray. Masazır kəndi. ""Bağçalı evlər"" MTK bina 8",08:00-23:00,924
Araz Masazır-9 Minimarket,40.493111,49.743904,Mini,"Abşeron ray. Masazır kəndi.22 B ""Yeni Bakı"" Yaşayış kompleksi",08:00-23:00,924
Araz Şamaxı-1 Supermarket,40.625885,48.647251,Supermarket,Şamaxı Şəhəri S.Ə.Şirvani 84 A,08:00-23:00,924
Araz Binə-7,40.426750,50.111225,Express,"Xəzər rayonu, Binə ŞTQ, Hövsan Südçülük Sovxoz, ev 56.",08:00-23:00,924
Araz Hövsan-5 Supermarket,40.360092,50.076019,Supermarket,"Bakı şəh, Suraxanı ray, Hövsan qəs, İ.Əhlimanov küç . 114",08:00-23:00,N/A
Araz 6-cı mkr-4 Ekspres,40.420200,49.818535,Express,Bakı Şəhəri Binəqədi Rayonu Binəqədi ŞTQ  Cavad Xan ev 4 A,08:00-23:00,N/A
