Name,lat,lon,location_type,phone,address,working_hours,map_link
Bravo Hüseyn Seyidzadə küç.,40.415878,49.819038,Ekspres,+994 12 525 20 08,Hüseyn Seyidzadə küçəsi 56,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415878,49.819038&travelmode=driver"
Bravo Xalqlar Dostluğu m/s,40.402592,49.955204,Ekspres,+994 12 525 20 08,Bəhruz Nuriyev küçəsi 2383,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.402592,49.955204&travelmode=driver"
Bravo Cəmşid Naxçıvanski küç.,40.406052,49.949257,Ekspres,+994 12 525 20 08,Cəmşid Naxçıvanski küçəsi 51,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.406052,49.949257&travelmode=driver"
Bravo Binəqədi,40.430470,49.850700,Ekspres,+994 12 525 20 08,"Binəqədi rayonu, Xarici Dairəvi küçəsi 16C",08:00 -23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.430470,49.850700&travelmode=driver"
Bravo Gəncə Dəmiryol st.,40.713882,46.367138,Ekspres,+994 12 525 20 08,Zülfü Hacıyev küçəsi 8,08:00 - 22:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.713882,46.367138&travelmode=driver"
Bravo Sabunçu Dəmiryol st.,40.446301,49.946194,Ekspres,+994 12 525 20 08,Əsildar Məmmədəliyev küçəsi,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.446301,49.946194&travelmode=driver"
Bravo Gəncə pr.,40.358143,49.961662,Ekspres,+994 12 525 20 08,"Əhmədli qəsəbəsi, Gəncə prospekti",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.358143,49.961662&travelmode=driver"
Bravo Əbdülvahab Salamzadə küç.,40.393284,49.810108,Ekspres,+994 12 525 20 08,Əbdülvahab Salamzadə küçəsi 7,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.393284,49.810108&travelmode=driver"
Bravo Zahid Xəlilov küç.,40.379364,49.811714,Ekspres,+994 12 525 20 08,Zahid Xəlilov küçəsi 568,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.379364,49.811714&travelmode=driver"
"Bravo ""Rifah Plaza"" yaşayış kompleksi",40.394775,49.838371,Ekspres,+994 12 525 20 08,Mirəsədulla Mirqasımov küçəsi 8,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.394775,49.838371&travelmode=driver"
Bravo 20 Yanvar küç.,40.412437,49.809032,Ekspres,+994 12 525 20 08,"Nəsimi rayonu, 20 Yanvar Küçasi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.412437,49.809032&travelmode=driver"
Bravo Sahil m/s,40.373371,49.844433,Ekspres,+994 12 525 20 08,Xəqani küçəsi 21,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373371,49.844433&travelmode=driver"
Bravo Ceyhun Hacıbəyli küç.,40.385174,49.848789,Ekspres,+994 12 525 20 08,Ceyhun Hacıbəyli küçəsi 8,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385174,49.848789&travelmode=driver"
Bravo Svetlana Məmmədova küç.,40.424446,49.823261,Ekspres,+994 12 525 20 08,Svetlana Məmmədova küçəsi 122,07:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.424446,49.823261&travelmode=driver"
"Bravo ""Park Bayıl"" yaşayış kompleksi",40.344589,49.838936,Ekspres,+994 12 525 20 08,Qurban Abbasov küçəsi 27,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.344589,49.838936&travelmode=driver"
"Bravo ""Sea Breeze"" yaşayış kompleksi",40.587234,49.985023,Ekspres,+994 12 525 20 08,"Nardaran qəsəbəsi, ""Sea Breeze"" yaşayış kompleksi",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.587234,49.985023&travelmode=driver"
Bravo 20 Yanvar m/s,40.403976,49.806622,Ekspres,+994 12 525 20 08,Həsən bəy Zərdabi prospekti 811,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.403976,49.806622&travelmode=driver"
Bravo Azərbaycan pr.,40.372826,49.832901,Ekspres,+994 12 525 20 08,Azərbaycan prospekti 23,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.372826,49.832901&travelmode=driver"
Bravo Əliəşrəf Əlizadə küç.,40.411240,49.870834,Ekspres,+994 12 525 20 08,Əliəşrəf Əlizadə küçəsi 65,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411240,49.870834&travelmode=driver"
Bravo Cavadxan küç.,40.419746,49.818203,Ekspres,+994 12 525 20 08,Cavadxan küçəsi 4A,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.419746,49.818203&travelmode=driver"
Bravo Bəşir Səfəroğlu küç.,40.373669,49.833820,Ekspres,+994 12 525 20 08,Təbriz Xəlilbəyli küçəsi 31A,24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373669,49.833820&travelmode=driver"
Bravo Bəkir Çobanzadə küç.,40.411163,49.931221,Ekspres,+994 12 525 20 08,Bəkir Çobanzada küçəsi 46A,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411163,49.931221&travelmode=driver"
"Bravo ""Park City"" yaşayış kompleksi",40.410393,49.950638,Ekspres,+994 12 525 20 08,Rüstəm Rüstəmov küçəsi 72A,08:00 - 22:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.410393,49.950638&travelmode=driver"
Bravo Akim Abbasov küç.,40.385593,49.804523,Ekspres,+994 12 525 20 08,General Akim Abbasov küçəsi 1,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385593,49.804523&travelmode=driver"
Bravo Sabit Rəhman küç.,40.399803,49.833710,Ekspres,+994 12 525 20 08,Sabit Rəhman küçəsi 82B,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.399803,49.833710&travelmode=driver"
Bravo Məhəmməd Hadi küç. 136,40.390984,49.953701,Ekspres,+994 12 525 20 08,Məhəmməd Hadi küçəsi 136A,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390984,49.953701&travelmode=driver"
"Bravo ""Çinar Park"" yaşayış kompleksi",40.415352,49.857815,Ekspres,+994 12 525 20 08,Ziya Bünyadov prospekti 1965,07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.415352,49.857815&travelmode=driver"
Bravo M.F.Axundov küç.,40.383011,49.825718,Ekspres,+994 12 525 20 08,Mirzə Fətəli Axundov küçəsi 179,08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383011,49.825718&travelmode=driver"
Bravo Nəsimi küç.,40.414333,49.945320,Ekspres,+994 12 525 20 08,"Nizami rayonu, Nəsimi küçəsi 214",07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414333,49.945320&travelmode=driver"
Bravo Kürdəxanı,40.539192,49.923313,Ekspres,+994 12 525 20 08,Tofiq Tağızadə küçəsi 16,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.539192,49.923313&travelmode=driver"
Bravo Süleyman Vəzirov küç.,40.383778,49.870468,Ekspres,+994 12 525 20 08,Xocalı Prospekti 29,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.383778,49.870468&travelmode=driver"
Bravo Səttar Bəhlulzadə küç.,40.413254,49.837021,Ekspres,+994 12 525 20 08,Səttar Bəhlulzadə küçəsi 1,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.413254,49.837021&travelmode=driver"
Bravo A.Bakıxanov küç.,40.390858,49.845531,Ekspres,+994 12 525 20 08,Abbasqulu ağa Bakıxanov küçəsi 35-37,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.390858,49.845531&travelmode=driver"
Bravo S.Ə.Şirvani küç.,40.392990,49.959721,Ekspres,+994 12 525 20 08,Seyid Əzim Şirvani küçəsi 29,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.392990,49.959721&travelmode=driver"
Bravo Xan Şuşinski küç.,40.398853,49.836044,Ekspres,+994 12 525 20 08,Xan Şuşinski küçəsi,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398853,49.836044&travelmode=driver"
"Bravo ""Gülüstan Residence"" yaşayış kompleksi",40.380642,49.841648,Ekspres,+994 12 525 20 08,Bülbül prospekti 60,07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.380642,49.841648&travelmode=driver"
Bravo Cəlil Məmmədquluzadə küç.,40.395691,49.829384,Ekspres,+994 12 525 20 08,Cəlil Məmmədquluzadə küçəsi 998,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.395691,49.829384&travelmode=driver"
Bravo İbrahimpaşa Dadaşov küç.,40.411991,49.843002,Ekspres,+994 12 525 20 08,İbrahimpaşa Dadaşov küçəsi 57,07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.411991,49.843002&travelmode=driver"
Bravo A.M.Şərifzadə küç. 301,40.391216,49.802288,Ekspres,+994 12 525 20 08,Abbas Mirzə Şərifzadə küçəsi 301A,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.391216,49.802288&travelmode=driver"
Bravo Həzi Aslanov m/s,40.373547,49.953789,Ekspres,+994 12 525 20 08,Məhəmməd Hadi küçəsi 76,07:00 - 23:30,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.373547,49.953789&travelmode=driver"
Bravo Hüseyn Cavid pr.,40.377781,49.815750,Ekspres,+994 12 525 20 08,Hüseyn Cavid prospekti 46,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.377781,49.815750&travelmode=driver"
"Bravo ""Ağ şəhər"" yaşayış kompleksi",40.382687,49.880829,Ekspres,+994 12 525 20 08,Xəqani Rüstəmov küçəsi 23,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382687,49.880829&travelmode=driver"
Bravo Zərifə Əliyeva küç.,40.375481,49.857346,Ekspres,+994 12 525 20 08,Zərifə Əliyeva prospekti 55,07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.375481,49.857346&travelmode=driver"
Bravo Nəsib bəy Yusifbəyli küç.,40.398125,49.840244,Ekspres,+994 12 525 20 08,Nəsib bəy Yusifbəyli küçəsi 74,07:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.398125,49.840244&travelmode=driver"
"Bravo ""Zümrüd Residence"" yaşayış kompleksi",40.397938,49.862251,Ekspres,+994 12 525 20 08,Ələsgər Hüseynov küçəsi 5,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.397938,49.862251&travelmode=driver"
Bravo Mehdi Hüseynzadə küç.,40.459766,49.744411,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Mehdi Hüseynzadə küçəsi 26",07:30 - 23:50,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459766,49.744411&travelmode=driver"
Bravo Özbəkistan küç.,40.414879,49.927147,Ekspres,+994 12 525 20 08,"Nizami rayonu, Mehdi Abbasov küçəsi 15A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.414879,49.927147&travelmode=driver"
Bravo Ağa Nemətulla küç.,40.407623,49.868450,Ekspres,+994 12 525 20 08,Ağa Nemətulla küçəsi 209,08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.407623,49.868450&travelmode=driver"
"Bravo ""Qurtuluş"" yaşayış kompleksi -1",40.490860,49.754726,Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, İstiqlaliyyət küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.490860,49.754726&travelmode=driver"
"Bravo ""Qurtuluş"" yaşayış kompleksi -2",40.486008,49.767689,Ekspres,+994 12 525 20 08,"Masazır qəsəbəsi, Qara Qarayev küçəsi 58A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.486008,49.767689&travelmode=driver"
Bravo Səid Rüstəmov küç.,40.368454,49.829170,Ekspres,+994 12 525 20 08,"Səbail rayonu, Həsən Abdullayev küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.368454,49.829170&travelmode=driver"
Bravo Hövsan,40.360592,50.078354,Ekspres,+994 12 525 20 08,"Hövsan qəsəbəsi, İlqar Əhlimanov küçasi 159D",07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.360592,50.078354&travelmode=driver"
Bravo Xırdalan -2,40.455780,49.736412,Ekspres,+994 12 525 20 08,"Xırdalan şəhəri, Heydər Əliyev prospekti 240",08:00 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.455780,49.736412&travelmode=driver"
Bravo Üzeyir Hacıbəyov küç.,40.371468,49.842682,Ekspres,+994 12 525 20 08,"Səbail rayonu, Səməd Vurğun küçəsi 3",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.371468,49.842682&travelmode=driver"
Bravo Əhmədli m/s,40.385784,49.953472,Ekspres,+994 12 525 20 08,"Xətai rayonu, Məhəmməd Hadi küçəsi182",07:00-02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.385784,49.953472&travelmode=driver"
Bravo Maştağa,40.531670,49.991234,Ekspres,+994 12 525 20 08,"Maştağa qəsəbəsi, Nizami küçəsi 97",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.531670,49.991234&travelmode=driver"
Bravo Şuşa,39.758015,46.744385,Ekspres,+994 12 525 20 08,"Şuşa şəhəri, Aslan Qaraşarov küçəsi",08:00 - 00:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=39.758015,46.744385&travelmode=driver"
Bravo Buzovna,40.511261,50.140347,Ekspres,,"Mərdəkan qəsəbəsi, Buzovna-Mərdəkan yolu",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.511261,50.140347&travelmode=driver"
Bravo Binəqədi şossesi,40.449390,49.843666,Market,,"Binəqədi qəsəbəsi, Binəqədi şossesi, 1-ci küçə",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.449390,49.843666&travelmode=driver"
Bravo Tovuz,40.991013,45.615772,Market,,"Tovuz şəhəri, Həzi Aslanov küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.991013,45.615772&travelmode=driver"
"Bravo ""AAAF Park"" yaşayış kompleksi",40.459625,49.720074,Ekspres,,"H.Əliyev prospekti 167,  AAAF park yasayis kompleksi 28 saylı küçə, bina 5",07:30 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.459625,49.720074&travelmode=driver"
Bravo Xırdalan H.Əliyev pr-2,40.463448,49.724785,Market,,"Xırdalan şəhəri, H.Əliyev prospekti 263",07:30 - 02:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.463448,49.724785&travelmode=driver"
Bravo A.Abbaszadə küç.,40.355026,49.816319,Ekspres,,"Badamdar qəsəbəsi, Abbasqulu Abbaszadə küçəsi 59 A",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.355026,49.816319&travelmode=driver"
Bravo Qala yolu,40.456032,50.142788,Market,,"Qala qəsəbəsi, 3 Nömrəli Zeytun Savxozunun ərazisi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.456032,50.142788&travelmode=driver"
Bravo Lənkəran,38.757114,48.833950,Super,,"Lənkəran rayonu, Şilavar kəndi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.757114,48.833950&travelmode=driver"
Bravo Şamaxı,40.641991,48.635811,Market,,"Şamaxı şəhəri, Məmməd Əmin Rəsulzadə küçəsi 28,30",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.641991,48.635811&travelmode=driver"
Bravo Göyçay,40.651539,47.750381,Market,,"Göyçay şəhəri, Nizami küçəsi 214 A",24/7,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.651539,47.750381&travelmode=driver"
Bravo Zirə,40.382217,50.287785,Ekspres,,"Zirə qəsəbəsi, Cəlal Əliyev küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=40.382217,50.287785&travelmode=driver"
Bravo Lənkəran Dosa Mall,38.754219,48.852238,Market,,"Lənkəran şəhəri, Dosa Mall, Fikrət Məmmədov küçəsi 23",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=38.754219,48.852238&travelmode=driver"
Bravo İmişli,39.868732,48.061630,Market,,"İmişli şəhəri, Qədir İsmayılzadə küçəsi",08:00 - 23:00,"https://www.google.com/maps/dir/?api=1&origin=&destination=39.868732,48.061630&travelmode=driver"
Şirkət,,,,,,,
,,,,,,,
Digər,,,,,,,
Hüquq,,,,,,,
