Name,Address,Type
Mərkəzi ofis,"Bakı ş., R.Behbudov küç. 55, AZ1014",branch
Rəqəmsal filial,"S.S.Axundov küç., 42",branch
Sədərək filialı,"Bakı ş., Qaradağ r-nu., Sədərək Ticarət Mərkəzi (Elit)",branch
Tovuz filialı,"Tovuz ş., Sabir küç., 21",branch
Bərdə filialı,"Bərdə ş., H. Əliyev pr., 72",branch
Xırdalan filialı,"Xırdalan şəh., M. Hüseynzadə küç., 6",branch
Quba filialı,"Quba ş., Heydər Əliyev pr., 225, AZ4002",branch
Şəki filialı,"Şəki ş., M.Ə.Rəsulzadə pr., 160A, AZ5500",branch
Lənkəran filialı,"Lənkəran ş., Z.Əliyeva küç., ev 12, AZ4200",branch
Şəmkir filialı,"Şəmkir ş., 20 Yanvar küç., 1, AZ5700",branch
Mingəçevir filialı,"Mingəçevir ş., Heydər Əliyev pr., 36, AZ4500",branch
Yasamal filialı,"Bakı ş., Bəsti Bağırova küç., 2, AZ1065",branch
Gəncə filialı,"Gəncə ş., Atatürk pr., 249, AZ2003",branch
Kəpəz filialı,"Gəncə şəhəri, Kəpəz r-nu, Ş.Hüseynov küç., 2, AZ2011",branch
İsmayıllı filialı,"İsmayıllı şəh., M.F. Axundov küç., 18A",branch
Neftçilər filialı,"Bakı, Nizami r-nu., Qara Qarayev pr., 66, AZ1096",branch
Nərimanov filialı,"Bakı ş., Təbriz küç., 94, AZ1072",branch
Sumqayıt filialı,"N.Nərimanov küç, ev.2/59, AZ5007",branch
Əcəmi filialı,"Bakı ş., 5-ci mkr, A. Məhərrəmov 21B, AZ1102",branch
10 saylı filial (Əhmədli),"Bakı ş., M.Hadi küç., 33, AZ1129",branch
15 saylı filial (28 May),"Bakı ş., Nəsimi r-nu, D. Əliyeva küç., 243 , AZ1010",branch
13 saylı filial (İnşaatçılar),"Bakı ş., Yasamal r-nu, Şərifzadə küç., 174, AZ 1138",branch
16 saylı filial,"Bak ş., Yasamal r-nu, M.Müşviq küç., 15/17 AZ 1138",branch
17 saylı (Sahil) filial,"Bakı ş., Səbail r-nu, Bülbül pr., 10, AZ1022",branch
19 saylı (Bakıxanov) filial,"Bakı ş., Bakıxanov qəs., Sülh küç., 14/2, AZ1132",branch
11 saylı (Dərnəgül) filialı,"Bakı ş., Ə.Rəcəbli küç., 1/15",branch
Mərdəkan filialı,"Xəzər r-nu., Mərdəkan qəs., Sergey Yesenin küç., 100",branch
Salyan filialı,"Salyan r-nu, Y. Qasımov, 2",branch
Xaçmaz filialı,"Xaçmaz ş., N. Nərimanov küç., 19A",branch
Qara Qarayev filialı,A.Manafov küçəsi 9 (Sevinc kinoteatrın yanı),branch
Unibank - Biznes Mərkəzi,Xocalı prospekti 44 (Xətai metrostansiyasının yaxınlığı),branch
Nizami Mall,S. Əsgərova küç.,branch
Bolmart supermarket,"S. Vurğun küç., 60",branch
Baku Store,"Maştağa qəs., H. Heybətov küç., 13",branch
Quru Təmizləmə,"Badamdar şossesi, 105",branch
Araz superstore,"Sumqayıt şəh., 9 mkr,, Ü. Hacıbəyov küç., 23",branch
Bolmart supermarket,"9-cu mkr., Mir Cəlal küç., 103",branch
Aptek Dokta,"Gəncə şəh,, Nizami və N. Nərimanov küç. kəsişməsi.",branch
Garage parking,"Azərbaycan pr., 2",branch
Bravo supermarket,"Ş. Allahverdiyev küç., 6B",branch
Rəqəmsal filial,"S. S. Axundov küç., 42",branch
Araz market,"Qarabağ küç., 26",branch
Bravo supermarket,"Sumqayıt şəh., 9-cu mkr., Ü. Hacıbəyov küç., 2",branch
Bizim market,"Xırdalan şəh., H. Aslanov küç.",branch
Memar Əcəmi m/s,H. Əliyev küç.,branch
Qara Qarayev m/s,Qara Qarayev pr.,branch
Bravo supermarket,"Binə qəs.,151",branch
Favorit market,"Rəsulzadə qəs., Binəqədi şossesi 244C",branch
Bravo supermarket,"Bakı şəhəri, 8 Noyabr prospekti",branch
Bravo Univerium,"Bakıxanov küç., 35-37",branch
Neftçilər m/s,Qara Qarayev pr.,branch
Dəniz Mall,"Neftçilər pr., 26A",branch
Rahat market,Zabrat şossesinin üzərində,branch
Araz market,"Binə qəs., Ə. İsazadə küç., 5",branch
Bravo supermarket,"Yeni Günəşli, AB massivinin şimalı",branch
Bravo supermarket,"Bakıxanov qəs., R. Qəmbərov küç., 2566-cı məh.",branch
16 saylı filial (İçərişəhər),"M.Müşviq küç., 15/17",branch
4-cü Mikrorayon,"4-cü Mikrorayon, Mir Cəlal küçəsi 36",branch
Ballı market,"Əmircan ŞTQ, M. Mustafayev küç., ev. 21",branch
Bakcell,"Azadlıq pr., 33",branch
Bravo hipermarket,"Tbilisi pr., 3007-ci məh.",branch
Rahat market,"Qala küç., 15",branch
Zagulba Mall,"Buzovna ŞTQ, R. İmanov küç., ev 22A",branch
Bravo supermarket,"Yeni Yasamal yaşayış massivi, Ə. Əhmədov küç.",branch
Araz market,"Hövsan ŞTQ, E. Məmmədov küç., ev. 5K",branch
Bravo hipermarket,"Şəmkir ray., Qazax-Bakı magistral yolunun 406 km-nin cənubu",branch
Bravo supermarket,"Ş. Məmmədova küç., 5",branch
Bravo supermarket,"Lökbatan qəs., 28 May küç., 5H",branch
Atatürk pr. 41,"Atatürk pr., 41",branch
Oba market,"A. Novruzov küç., 26A",branch
Babək Plaza,"Babək pr., Ə. Quliyev küç., 1131",branch
Bravo supermarket (№5 Xəstəxana),"Fətəli Xan Xoyski küç., 106",branch
Crescent Mall,"Neftçilər pr., 66/68",branch
Jalə Plaza,"S. Rəhimov küç., 179A",branch
Caspian Plaza,"C. Cabbarlı küç., 44",branch
Bravo supermarket,"Azadlıq pr., 145",branch
AGA Biznes Mərkəzi,"Xocalı pr., 55",branch
Araz supermarket,"Lökbatan dairəsi, Binə t/m",branch
Bravo supermarket (Xətai Park),"Gəncə pr., 36",branch
Bazarstore supermarket,"Q. Abbasov küç., 74",branch
Bravo supermarket,"Füzuli küç., 29",branch
Hava limanı - Terminal 2,"Heydər Əliyev Beynəlxalq Aeroportu, Terminal 2",branch
Azərbaycan Dəmir Yolları (Bakı st.),"F.Əmirov küç., 24/2",branch
Bravo supermarket,"M. Mirqasımov küç., 236",branch
Araz supermarket,"Məmmədli qəs., bina 1",branch
Qayalı (Sumqayıt bulvarı),"Sumqayıt şəh., S. Vurğun küç., 13c",branch
Bravo supermarket,"H. Cavid pr., 46",branch
Aptek Darçın,"N. Hikmət küç., 24",branch
Blue Mall,"8 Noyabr pr., 57",branch
Bazarstore supermarket,"Azadlıq pr., R. Axundov və V. Plotnikov küç. kəsişməsi",branch
Bravo supermarket,"Gəncə şəh., Z. Hacıyev küç., 8",branch
Sabah Residence,"Z. Yusifzadə küç., 12 (Xanlar küç., 10)",branch
Megastore supermarket,"Bülbülə qəs., S. Bəhlulzadə küç., 85",branch
Araz supermarket,"Ceyranbatan qəs., Bakı-Sumqayıt şossesi",branch
Bravo supermarket,"Nardaran qəs., Sea Breeze İstirahət və yaşayış kompleksi",branch
Xalqlar Dostluğu m/s,Q. Qarayev pr.,branch
Həzi Aslanov m/s,M. Hadi küç.,branch
Əhmədli m/s,M. Hadi küç.,branch
Araz market,"Sabunçu qəs., Ə. Məmmədəliyev küç., 18A",branch
Bravo supermarket,"Binəqədi qəs., S. Məmmədova küç., 122",branch
Rahat supermarket,"Bakı-Şamaxı şossesi, Müşfiqabad qəs.",branch
Ordubad market,"Sumqayıt şəh., H. Əliyev küç., 40-cı məh.",branch
Araz supermarket,"Saray qəs., M. Əsədov küç., 68",branch
Araz supermarket,"Mehdiabad qəs., 28 May küç.",branch
Sədərək filialı,Sədərək Tiracət Mərkəzi (Elit),branch
Rahat market,Bakı-Sumqayıt şossesi,branch
Bravo supermarket,H. Zərdabi pr. (Şokolad Tower),branch
Bravo supermarket,"C. Cabbarlı küç., 609 (Globus Center)",branch
Park Bulvar,"Neftçilər pr., 42",branch
Bravo hipermarket,"Xırdalan şəh., H. Əliyev pr., ev 263",branch
Araz market,"Masazır qəs., Ə. Vahid küç.",branch
Garage parking,"Ü. Hacıbəyov küç., 6/8",branch
Amburan ticarət mərkəzi,"Bilgəh qəs,, Zuğulba pr., 337",branch
Bravo hipermarket,"R. Quliyev küç., 4",branch
Bravo hipermarket,Babək pr.,branch
Bravo hipermarket,"H. Əliyev pr., 172",branch
Azure biznes mərkəzi,"Nobel pr., 15",branch
Gold Mobile,"Lökbatan ŞTQ, 28 may küç., ev 7",branch
Elmlər Akademiyası m/s,Hüseyn Cavid pr.,branch
Araz market,"Saray qəs., Bakı-Sumqayıt şossesi",branch
None stop telecom,"Sumqayıt şəh., 2-ci mkr. Sülh küç.",branch
Araz market,Bayıl qəs. 20-ci sahə,branch
Uniplaza,"R. Behbudov küç., 55 (Uniplaza ) Baş ofis",branch
Xaçmaz filialı,"Xaçmaz şəh., N. Nərimanov küç., 19/A",branch
Bərdə filialı,"Bərdə şəh., H. Əliyev pr. 72",branch
Salyan filialı,"Salyan şəh., Y. Qasımov küç., 2",branch
Tovuz filialı,"Tovuz şəh., M. Ə. Sabir küç., 21",branch
Yasamal filialı,"B. Bağırova küç., 2",branch
Nərgiz Mall,"Nizami küç., 42",branch
Aptek,"Azadlıq pr., 116",branch
Mərdəkan filialı,"Mərdəkan qəs., S. Yesenin küç., 100",branch
19 saylı filial (Bakıxanov),"Bakıxanov qəs., Sülh küç.,14/2",branch
Əcəmi filialı,"A. Məhərrəmov küç., 22A",branch
Nərimanov filialı,"Təbriz küç., 94",branch
10 saylı filial (Əhmədli),"M. Hadi küç., 33",branch
N.Nərimanov m/s çıxışı,"A. Nemətulla küç., 45",branch
17 saylı (Sahil) filial,"Bülbül pr., 10",branch
13 saylı filial (İnşaatçılar),"Şərifzadə küç., 174",branch
İmAir kassa,"Nizami küç., 66",branch
15 saylı filial ( 28 May),D. Əliyeva küç. 243,branch
İçərişəhər m/s,İstiqlaliyyət küç.,branch
Dərnəgül filialı,"Ə. Rəcəbli küç., 1/15",branch
Soliton,"M. Hadi küç., 2944",branch
Şahmat məktəbi,"Azərbaycan pr., 42A",branch
28 Mall,Azadlıq pr.,branch
Xırdalan filialı,"Xırdalan şəh., M. Hüseynzadə küç., 6",branch
Kəpəz filialı,"Gəncə şəh., Ş. Hüseynov küç., 2",branch
Lənkaran filialı,"Lənkəran şəh., Z. Əliyeva küç., ev 12",branch
Şəki filialı,"Şəki şəh,, M. Rəsulzadə pr., 160A",branch
Gəncə filialı,"Gəncə şəh., Atatürk pr., 249",branch
Şəmkir filialı,"Şəmkir şəh., 20 Yanvar küç., 1",branch
Mingəçevir filialı,"Mingəçevir şəh., H. Əliyev pr., 36",branch
Sumqayıt filialı,"Sumqayıt şəh., N. Nərimanov küç., 39",branch
Quba filialı,"Quba şəh,, H. Əliyev pr., 225",branch
Neftçilər filialı,"Q.Qarayev pr., 66",branch
Araz market,"Haqverdiyev küç., 574",branch
Metropark,"Təbriz küç., 106 a",branch
Araz market,Tbilisi pr-ti ilə A. Salamzadə küç. kəsişməsi,branch
Bizim market,"Köhnə Günəşli, İ. İsmayılov küç., 5/C",branch
Port Baku,"Neftçilər pr., 151",branch
Optimal market,"Sahil qəs., M. Seyidov küç.",branch
Unibank - Biznes Mərkəzi,"Xocalı pr., 44",branch
Mərdəkan qəs.,"Mərdəkan qəs., S. Yesenin küç., 80",branch
İsmayıllı filialı,"İsmayıllı şəh., M. F. Axundov küç., 18/A",branch
Catel-VIP,"Azadlıq pr., 23",branch
Lukoil YDM,Azadlıq pr. ilə C. Xəndan küç. kəsişməsi,branch
Gənclik Mall Parkinq və 3-cü mərtəbə,"F. X. Xoyski küç., 830-835 məh.",branch
Mərkəzi ofis,Mərkəzi ofis,branch
Unibank - Biznes Mərkəzi,Xocalı prospekti 44 (Xətai metrostansiyasının yaxınlığı) Tеl.: 117,branch
15 saylı filial,"D.Əliyeva küç., ev. 243 , (Səməd Vurğun bağının yanı) Bakı ş., Nəsimi r-nu AZ 1010 Tel.: 117",branch
Quba filialı,"Heydər Əliyev prosp. 225, ( Bakı-Quba yolunun sağı, köhnə avtovağzala çatmamış) Quba ş., AZ 4002, Tel.: 117",branch
Xırdalan filialı,"Xırdalan şəhəri, M.Hüseynzadə küçəsi, 6 , (Yeni bazarın qarşısı) Tel.: 117",branch
11 saylı (Dərnəgül) filialı,"Bakı ş., Ə.Rəcəbli kuçəsi 1, (Royal otel, Şəki restoranına yaxın) bina 15 Tel.: 117",branch
17 saylı (Sahil) filialı,"Bülbül pr., 10 , (Sahil metrosunun yanı) Bakı ş., Səbail r-nu, AZ 1022 Tel.: 117",branch
İsmayıllı filialı,"İsmayıllı şəh., M.F. Axundov küç, 18A , (Təhsil şöbəsinə yaxın) Tel.: 117",branch
Bərdə filialı,"Bərdə şəhəri, Nizami küçəsi 72 (İcra Hakimiyyətinə yaxın) Tel.: 117",branch
Mərdəkan filialı,"Xəzər rayonu, Mərdəkan qəsəbəsi, Sergey Yesenin küçəsi, 100 Tel.: 117",branch
Yasamal filialı,"Bəsti Bağırova küç., 2, (Statistika Komitəsinin yan) Bakı ş., AZ1065 Tel.: 117",branch
Tovuz fililalı,"Tovuz şəhəri, Sabir küçəsi 21 (Mərkəzi poçtla üzbəüz) Tel.: 117",branch
19 saylı (Bakıxanov) filial,"Sülh küç., 14/2 , (Sabunçu rayon icra hakimiyyətinin yanı) Bakı ş.,Bakıxanov qəs., AZ 1132, Tel.: 117",branch
Salyan filialı,"Y. Qasımov , 2 (Avtovağzala yaxın) Tel.: 117",branch
Xaçmaz filialı,"Xaçmaz filialı Xaçmaz şəhəri, N. Nərimanov küçəsi, 19A (Mərkəzi poçtun yaxınlığı) Tel.: 117",branch
Nərimanov filialı,"Təbriz küç.,94 , (Nərimanov metrosuı, Arçelik və Roddy mood mağazalarının yaxınlığı) Bakı ş., AZ 1072 Tel.: 117",branch
Kəpəz filialı,"Gəncə şəhəri, (Texnologiya Universitetinin qarşısı) AZ 2011 Kəpəz rayonu, Ş.Hüseynov küç.,2 Tel.: 117",branch
Mingəçevir filialı,"Heydər Əliyev pr 36 saylı binanın qarşısı (2 saylı Notariat Kontorunun yanı) Mingəçevir ş., AZ 4500 Tel.: 117",branch
Şəmkir filialı,"20 Yanvar küç., 1 , (İcra hakimiyyətinə yaxın) Şəmkir ş., AZ5700 Tel.: 117",branch
BOA (Gəncə),Gəncə şəh. Əttarlar küç. 10A,branch
Araz market,"Binə qəsəbəsi, Əli İsazadə küç. 5",branch
Bravo hipermarket Əhmədli,Ramiz Quliyev küç. 4,branch
Bravo Yeni Yasamal,"Yeni Yasamal yaşayış massivi, Əsəd Əhmədov küç.",branch
Neftçilər filialı,"Qara Qarayev pr., 66, (Çudo peçka nın arxası) Bakı, Nizami r-nu., AZ1096, Tel.: 117",branch
Gəncə filialı,"Atatürk pr., 249, (Şəhərin mərkəzi, Moskva mağazaları ilə üzbəüz) Gəncə ş.,AZ2003, Tel.: 117",branch
Əcəmi filialı,"A. Məhərrəmov 21 B (Neptun supermarketinin yanı) Bakı ş., 5-ci mkr, AZ 1102, Tel.: 117",branch
10 saylı filial,"M.Hadi küç., 33, (Əhmədli metrosunun Çudo Peçka tərəfdəki çıxışında) Bakı ş., AZ1129, Tel.: 117",branch
13 saylı filial (İnşaatçılar),"Bakı ş., Yasamal r-nu, Şərifzadə küç., 174, AZ 1138",branch
16 saylı filial,"M.Müşviq küç. 15/17 ( N.Nərimanovun heykəlindən üzü keçmiş 20 saylı məktəbə gedən yolun sağı). Bak ş.Yasamal r-nu, AZ 1138 Tel.: 117",branch
Rəqəmsal filial,"S.S. Axundov küç., 42 Tel: 117",branch
Şəki filialı,"M.Ə.Rəsulzadə prospekti, 160A, (Avtovağzala yaxın) Şəki ş., AZ 5500 Tel.: 117",branch
Lənkəran filialı,"Z.Əliyeva küç., ev 12, (H.Əliyev adına parkın yaxınlığında) Lənkəran ş., AZ4200 Tel.: 117",branch
Sumqayıt filialı,"N.Nərimanov küç, ev.2/59, AZ5007 Tel.: 117",branch
Mərkəzi ofis,"Bakı ş., R.Behbudov küç. 55, AZ1014",branch
Sədərək filialı,"Bakı ş., Qaradağ r-nu., Sədərək Ticarət Mərkəzi (Elit)",branch
Tovuz filialı,"Tovuz ş., Sabir küç., 21",branch
Bərdə filialı,"Bərdə ş., H. Əliyev pr., 72",branch
Quba filialı,"Quba ş., Heydər Əliyev pr., 225, AZ4002",branch
Şəki filialı,"Şəki ş., M.Ə.Rəsulzadə pr., 160A, AZ5500",branch
Lənkəran filialı,"Lənkəran ş., Z.Əliyeva küç., ev 12, AZ4200",branch
Şəmkir filialı,"Şəmkir ş., 20 Yanvar küç., 1, AZ5700",branch
Mingəçevir filialı,"Mingəçevir ş., Heydər Əliyev pr., 36, AZ4500",branch
Yasamal filialı,"Bakı ş., Bəsti Bağırova küç., 2, AZ1065",branch
Kəpəz filialı,"Gəncə şəhəri, Kəpəz r-nu, Ş.Hüseynov küç., 2, AZ2011",branch
İsmayıllı filialı,"İsmayıllı şəh., M.F. Axundov küç., 18A",branch
Neftçilər filialı,"Bakı, Nizami r-nu., Qara Qarayev pr., 66, AZ1096",branch
Nərimanov filialı,"Bakı ş., Təbriz küç., 94, AZ1072",branch
Sumqayıt filialı,"N.Nərimanov küç, ev.2/59, AZ5007",branch
Əcəmi filialı,"Bakı ş., 5-ci mkr, A. Məhərrəmov 21B, AZ1102",branch
10 saylı filial (Əhmədli),"Bakı ş., M.Hadi küç., 33, AZ1129",branch
15 saylı filial (28 May),"Bakı ş., Nəsimi r-nu, D. Əliyeva küç., 243 , AZ1010",branch
13 saylı filial (İnşaatçılar),"Bakı ş., Yasamal r-nu, Şərifzadə küç., 174, AZ 1138",branch
16 saylı filial,"Bak ş., Yasamal r-nu, M.Müşviq küç., 15/17 AZ 1138",branch
17 saylı (Sahil) filial,"Bakı ş., Səbail r-nu, Bülbül pr., 10, AZ1022",branch
19 saylı (Bakıxanov) filial,"Bakı ş., Bakıxanov qəs., Sülh küç., 14/2, AZ1132",branch
11 saylı (Dərnəgül) filialı,"Bakı ş., Ə.Rəcəbli küç., 1/15",branch
Mərdəkan filialı,"Xəzər r-nu., Mərdəkan qəs., Sergey Yesenin küç., 100",branch
Salyan filialı,"Salyan r-nu, Y. Qasımov, 2",branch
Xaçmaz filialı,"Xaçmaz ş., N. Nərimanov küç., 19A",branch
Qara Qarayev filialı,A.Manafov küçəsi 9 (Sevinc kinoteatrın yanı),branch
Unibank - Biznes Mərkəzi,Xocalı prospekti 44 (Xətai metrostansiyasının yaxınlığı),branch
Rəqəmsal filial,"S.S.Axundov küç., 42",branch
Bərdə filialı,"Bərdə ş., H. Əliyev pr., 72",branch
Xırdalan filialı,"Xırdalan şəh., M. Hüseynzadə küç., 6",branch
Gəncə filialı,"Gəncə ş., Atatürk pr., 249, AZ2003",branch
Neftçilər filialı,"Bakı, Nizami r-nu., Qara Qarayev pr., 66, AZ1096",branch
Nərimanov filialı,"Bakı ş., Təbriz küç., 94, AZ1072",branch
Sumqayıt filialı,"N.Nərimanov küç, ev.2/59, AZ5007",branch
Əcəmi filialı,"Bakı ş., 5-ci mkr, A. Məhərrəmov 21B, AZ1102",branch
